winner_account.address,asset.collection.name
0x019ed608dd806b80193942f2a960e7ac8abb2ee3,"{'MyCryptoHeroes', 'Ethermon', 'MarbleCards'}"
0x04801e48fc364d1c81b29f6d0cda654c614324ec,"{'MyCryptoHeroes', 'Ethermon', 'BlockchainCuties'}"
0x080ad9d187b0fd917313bcb99b9fed79ec6b5aae,"{'MyCryptoHeroes', 'Mythereum', 'MarbleCards'}"
0x08894e02b950fc44ef7a81da248d4f0bfd6659d4,"{'Darkwinds', 'Ethermon', 'MarbleCards', 'BlockchainCuties'}"
0x09fa6493598e40261b210edba861fc41538c1a2f,"{'MyCryptoHeroes', 'Ethermon', 'Mythereum'}"
0x0bc3aa0af2de00eb5eb18b6231b5397e7f1e9d22,"{'PandaEarth', 'Ethermon', 'Mythereum', 'ETH TOWN'}"
0x104d7c320963e7914a570e9a511c5b1d545e4aba,"{'PandaEarth', 'CryptoAssault', 'Chibi Fighters 1.0', 'BlockchainCuties'}"
0x121bf018c4260ff74d1a223fa3f5faa26140f986,"{'ETH TOWN', 'BlockchainCuties', 'MarbleCards', 'MyCryptoHeroes', 'Ethermon', 'Darkwinds'}"
0x1426e0dc259e1a6d0da470661ba54a21195ae3a6,"{'Ethermon', 'ETH TOWN', 'BlockchainCuties'}"
0x18eb8220198b1c7bb127af9598aec272c28ed3b7,"{'PandaEarth', 'CryptoAssault', 'Mythereum', 'Chibi Fighters 1.0'}"
0x193eecf837dabb5dcf2d8054f2f17cb5ea9d9096,"{'Ethermon', 'MarbleCards', 'Darkwinds'}"
0x19ac31dd1a08c330a6abd11cb4f5b4a5bffbfe1f,"{'MyCryptoHeroes', 'Ethermon', 'Ether Kingdoms'}"
0x19aff6534328325b603320c09a5290b0b68f3d3c,"{'CryptoAssault', 'Chibi Fighters 1.0', 'BlockchainCuties'}"
0x1acd043d55312f1d491fb5600d67f560aede7617,"{'PandaEarth', 'Chibi Fighters 1.0', 'BlockchainCuties'}"
0x20ca0d6fe51d06946f5cc90f9f4f297d398dd6db,"{'Hedgie', 'Mythereum', 'Chibi Fighters 1.0', 'MyCryptoHeroes', 'Ethermon'}"
0x26b350f462ae30ec1c48c36ba944ab66f06dafee,"{'CryptoAssault', 'CryptoSaga', 'MyCryptoHeroes', 'Darkwinds', 'ETH TOWN'}"
0x2a188609ee9f08ecd7c697da4c56bcda0970abfb,"{'Darkwinds', 'MyCryptoHeroes', 'BlockchainCuties'}"
0x2ce851cf6eb7390983acb1da0cbb3dc7a3a9a07c,"{'ETH TOWN', 'Ether Kingdoms', 'Darkwinds'}"
0x35a3e6f5d0fce697c3e820bf6011c6187c332fd2,"{'Darkwinds', 'MyCryptoHeroes', 'CryptoRacing'}"
0x35a70026ce6d10c548cacd721dbbfea220ca4506,"{'MyCryptoHeroes', 'Ethermon', 'Chibi Fighters 1.0'}"
0x363f725beb64d679f04213774f27cae4689b292c,"{'Ethermon', 'ETH TOWN', 'BlockchainCuties'}"
0x388e07d4fc7f3e2c825e6cb1ff46447764798b24,"{'Mythereum', 'ETH TOWN', 'BlockchainCuties', 'MarbleCards', 'Darkwinds'}"
0x39d28d4c4191a584acabe021f5b905887a6b5247,"{'CryptoAssault', 'MarbleCards', 'Darkwinds'}"
0x3df364ed7e8a887f7f9c240f7e281a4ea05ce03f,"{'Hedgie', 'MarbleCards', 'BlockchainCuties'}"
0x406f4533b2f6209812d7ef9c7d69b8c54217c208,"{'Ether Kingdoms', 'Mythereum', 'BlockchainCuties', 'CryptoSaga', 'Chibi Fighters 1.0', 'MyCryptoHeroes', 'ETH TOWN'}"
0x43afdf5985443421fa1118b2f753a46f74f2f35a,"{'Mythereum', 'BlockchainCuties', 'Chibi Fighters 1.0', 'Ethermon', 'ETH TOWN'}"
0x46f67ba8629f70a9c6099f9f0ca1fe98e5047397,"{'Ethermon', 'CaesarsTriumph', 'ETH TOWN', 'BlockchainCuties'}"
0x472b8cebf89ff52a22ed20237dc7abb855d5110f,"{'Ethermon', 'ETH TOWN', 'Darkwinds'}"
0x4d642c1dd3c51070421ab367e62d1119047a8b36,"{'PandaEarth', 'Ethermon', 'Mythereum'}"
0x52365275870a49c3f33ca293dd4645e7cccf009f,"{'MyCryptoHeroes', 'Ethermon', 'Chibi Fighters 1.0'}"
0x5264f5112ba20ca4bb7668a198e6169697c86f4b,"{'Darkwinds', 'Ethermon', 'BlockchainCuties'}"
0x530cf036ed4fa58f7301a9c788c9806624cefd19,"{'Mythereum', 'MarbleCards', 'MyCryptoHeroes', 'Ethermon', 'Darkwinds', 'ETH TOWN'}"
0x55611b747af18e27ba99c251377912fcd96ea656,"{'CryptoSaga', 'Mythereum', '10 Most Influential in Blockchain 2018 presented by CoinDesk', 'Chibi Fighters 1.0'}"
0x55838deb3b5eb834138470ad999213d7c47e5369,"{'Hedgie', 'Mythereum', 'MarbleCards', 'Chibi Fighters 1.0'}"
0x55b4dc1873b2b2d54e75fabcde78160a37498a06,"{'Hedgie', 'MarbleCards', 'CryptoSaga', 'Chibi Fighters 1.0', 'Ethermon', 'HiPrecious'}"
0x5837bf8623fe3ed959c3c43c3e6052ca35a3d275,"{'HiPrecious', 'MarbleCards', 'BlockchainCuties'}"
0x5ac17a180aa5d441f1f824390d3080ab342f54a6,"{'Mythereum', 'ETH TOWN', 'BlockchainCuties'}"
0x5d54dbac524eed9fe4606f65fc0f069e704323a6,"{'PandaEarth', 'Hedgie', 'BlockchainCuties'}"
0x5d888449672861064ce7eb2648d80ccddaa54c5d,"{'MyCryptoHeroes', 'CryptoAssault', 'BlockchainCuties'}"
0x61592a6f682bbabfd743aa7596ee269e7448212c,"{'ETH TOWN', 'Ether Kingdoms', 'BlockchainCuties', 'MarbleCards', 'MyCryptoHeroes', 'Ethermon', 'Darkwinds'}"
0x61815f75b2467f33aa851a28b5c8b4351dfe6c26,"{'CaesarsTriumph', 'Ether Kingdoms', 'MarbleCards', 'MyCryptoHeroes', 'ETH TOWN'}"
0x715ac14d33dcded8b569a45d8159438b8c271d7b,"{'Mythereum', 'Ether Kingdoms', 'CryptoRacing', 'Darkwinds', 'PandaEarth'}"
0x73d74b585eb4e2224efee70ab3798c7e14a54a1f,"{'Mythereum', 'MarbleCards', 'Chibi Fighters 1.0'}"
0x7a759facfa62c35c40025a3445a357b1910fa1d2,"{'Ethermon', 'Hedgie', 'Chibi Fighters 1.0', 'BlockchainCuties'}"
0x8033562521fedecdcc05487303522375597f9094,"{'Darkwinds', 'ETH TOWN', 'BlockchainCuties'}"
0x8949db9fbb4716ce5a2803085c7732c14fe03a37,"{'CryptoAssault', 'Ether Kingdoms', 'Chibi Fighters 1.0'}"
0x8b3ad493c077e894a034db7eb53e8285560298fd,"{'MyCryptoHeroes', 'Chibi Fighters 1.0', 'BlockchainCuties'}"
0x8cf465f396cdbffc31b5305391d403fa2b4e3f44,"{'Mythereum', 'BlockchainCuties', 'CryptoSaga', 'Chibi Fighters 1.0', 'MyCryptoHeroes', 'Darkwinds'}"
0x959059957332a9171543b6929c0e6a118e2a2b9c,"{'MyCryptoHeroes', 'CryptoAssault', 'BlockchainCuties'}"
0x983961f34fc4cfc5eafec371cdba9d56ff8c1935,"{'Mythereum', 'CaesarsTriumph', 'CryptoAssault', 'Ether Kingdoms'}"
0x9aca21d4c170c80610593640ca3f1afd23a19562,"{'CryptoSaga', 'Ethermon', 'MyCryptoHeroes', 'Chibi Fighters 1.0'}"
0x9b1401f9825c81da35a3166026db6308ef452ec7,"{'MyCryptoHeroes', 'Ethermon', 'CaesarsTriumph'}"
0x9f60aa00b6531291702d0e1892ab31d5c150661c,"{'Ethermon', 'Ether Kingdoms', 'CryptoSaga', 'ETH TOWN'}"
0xa7b33cd26f27f1c6b709db5cae442e42387ba69a,"{'CryptoAssault', 'Ether Kingdoms', 'MarbleCards'}"
0xa8bafc88e36ba1223dff19452309f96e1b351e67,"{'Mythereum', 'MarbleCards', 'Chibi Fighters 1.0'}"
0xab3009dbb3c9a5694ed818cf0d159e069dd55107,"{'MyCryptoHeroes', 'Ethermon', 'CryptoAssault', 'PandaEarth'}"
0xab47c81540ba4fe61ee916a0cabc8a16b41dfedd,"{'MyCryptoHeroes', 'Ethermon', 'MarbleCards'}"
0xabf53f5d50139925f4daf2d92da46847ac565095,"{'CryptoSaga', 'MyCryptoHeroes', 'Chibi Fighters 1.0'}"
0xac707ee01a605bfc712536d703e5e790357c48e5,"{'Hedgie', 'CryptoAssault', 'MyCryptoHeroes', 'ETH TOWN'}"
0xae1692d8d045716c948b707550e91dbd2c55169a,"{'Ethermon', 'CryptoAssault', 'BlockchainCuties'}"
0xb6d820e80a2a7c49f94c9d6c8ea08dccedc9ce4c,"{'Darkwinds', 'Ethermon', 'PandaEarth', 'BlockchainCuties'}"
0xbbdc44fe1261191a27e5cdbf0dd520a7a636a3e9,"{'Ether Kingdoms', 'ETH TOWN', 'BlockchainCuties', 'Chibi Fighters 1.0', 'Darkwinds'}"
0xbce3bd3b206946abbe094903ae2b4244b52fb4e9,"{'ETH TOWN', 'MarbleCards', 'BlockchainCuties'}"
0xc4b2286be2635a4ce1c986edab361f7391837cb7,"{'CryptoAssault', 'Mythereum', 'Darkwinds'}"
0xc6326c501c104ebac755c9c984d3136856d2439e,"{'Ethermon', 'CaesarsTriumph', 'CryptoAssault'}"
0xc6f76f5bb6de40dc9ced62e72965099d22ad68b0,"{'MyCryptoHeroes', 'Ethermon', 'Mythereum', 'Chibi Fighters 1.0'}"
0xc77e51449886ade9815683c204a1758220d67c25,"{'MyCryptoHeroes', 'CryptoAssault', 'BlockchainCuties'}"
0xca11d10ceb098f597a0cab28117fc3465991a63c,"{'PandaEarth', 'CryptoAssault', 'Mythereum', 'BlockchainCuties'}"
0xca21bce1182b52cf3570b2499446e2ead8b86a49,"{'Ether Kingdoms', 'Mythereum', 'BlockchainCuties', 'CryptoAssault', 'MarbleCards', 'Chibi Fighters 1.0', 'MyCryptoHeroes'}"
0xcb7e9e305fa4afa4cf5b414120c560ad3ed75a53,"{'Mythereum', 'BlockchainCuties', 'MarbleCards', 'CryptoSaga', 'Chibi Fighters 1.0'}"
0xcc9959f4a5e056535d2ea4c5bde436d75f9dbb09,"{'Mythereum', 'MarbleCards', 'ETH TOWN'}"
0xcce4bd1d08aec08de12ac7730ac4facd143a2abf,"{'MyCryptoHeroes', 'Ethermon', 'ETH TOWN'}"
0xcd4fec10c8ad4873e209062b31defb684ff8cb7c,"{'Hedgie', 'Ether Kingdoms', 'BlockchainCuties', 'MyCryptoHeroes', 'Ethermon', 'ETH TOWN'}"
0xcdb14c2af4d11458ef5694bf00e5ba02c4e16a5e,"{'MyCryptoHeroes', 'MarbleCards', 'ETH TOWN'}"
0xd2faf32104bff6d15f20375912b92e068b0f442a,"{'MyCryptoHeroes', 'Ethermon', 'CryptoSaga'}"
0xd887d3a5b8f513310724b2f96aec54c6a70001ed,"{'MyCryptoHeroes', 'CryptoAssault', 'Chibi Fighters 1.0'}"
0xdae6ca75bb2afd213e5887513d8b1789122eaaea,"{'PandaEarth', 'Mythereum', 'BlockchainCuties'}"
0xdb668b2c868a50135ff455d9fd76b6e328d59cc8,"{'Ether Kingdoms', 'CryptoAssault', 'MarbleCards', 'MyCryptoHeroes', 'Darkwinds'}"
0xe2feebe43a6c3df939e09515bd2911be19ace4bf,"{'MyCryptoHeroes', 'Mythereum', 'MarbleCards', 'ETH TOWN'}"
0xe84694e5f139fc33c897767fb7a9aa40e9cf2ada,"{'PandaEarth', 'Ether Kingdoms', 'CryptoRacing'}"
0xe9b88fa2d3fe1ed6484bdb5ce74661a36f931659,"{'MyCryptoHeroes', 'CryptoAssault', 'PandaEarth', 'Chibi Fighters 1.0'}"
0xee91e921a6d9605a24c7f684738cc2308e5e4b20,"{'Ethermon', 'Ether Kingdoms', 'BlockchainCuties'}"
0xeffcb779f129a5cae056715ec55ca4c4b6265b88,"{'MyCryptoHeroes', 'Ethermon', 'CryptoAssault'}"
0xf3c2f29bd3199c33d26cbc31d440f66d2065c4b3,"{'MyCryptoHeroes', '10 Most Influential in Blockchain 2018 presented by CoinDesk', 'ETH TOWN'}"
0xf7200f7a475b53446a10421dea95299fa9319a85,"{'Hedgie', 'Ether Kingdoms', 'BlockchainCuties', 'Ethermon', 'ETH TOWN'}"
0xf862c9413f2cc21ebfda534ecfa6df4f59f0b197,"{'Ether Kingdoms', 'CryptoAssault', 'Chibi Fighters 1.0', 'MyCryptoHeroes', 'HiPrecious'}"
0xfa45c6991a2c3d74ada3a279e21135133ce3da8a,"{'MyCryptoHeroes', 'Ethermon', 'Darkwinds'}"
0xfaf74127f4678669cb51d7b61e577e5577e382c6,"{'Mythereum', 'CryptoAssault', 'MarbleCards', 'MyCryptoHeroes', 'Darkwinds', 'ETH TOWN'}"
0xfce92d4163aa532aa096de8a3c4fef9f875bc55f,"{'CryptoAssault', 'Ether Kingdoms', 'Chibi Fighters 1.0'}"
0xfdc34f61ccc6e5cbf8d168614ab29bae624085c9,"{'Darkwinds', 'ETH TOWN', 'MarbleCards', 'BlockchainCuties'}"
